Dato;01.02.2020;02.02.2020;03.02.2020;04.02.2020;05.02.2020;06.02.2020;07.02.2020;08.02.2020;09.02.2020;10.02.2020;11.02.2020;12.02.2020;13.02.2020;14.02.2020;15.02.2020;16.02.2020;17.02.2020;18.02.2020;19.02.2020;20.02.2020
00:00;1.961;1.961;1.961;2.401;1.950;0.948;1.959;0.936;1.971;1.132;1.095;1.418;1.063;1.138;0.000;0.000;0.000;0.000;0.000;0.000
01:00;1.961;1.961;1.961;1.622;1.025;0.471;1.375;1.879;1.468;0.809;1.381;1.021;1.866;1.195;0.000;0.000;0.000;0.000;0.000;0.000
02:00;1.961;1.961;1.961;1.622;1.025;0.471;1.375;1.879;1.468;0.809;1.381;1.021;1.866;1.195;0.000;0.000;0.000;0.000;0.000;0.000
03:00;1.961;1.961;1.961;1.606;1.061;0.590;1.043;1.023;1.008;1.308;0.923;1.754;1.191;1.233;0.000;0.000;0.000;0.000;0.000;0.000
04:00;1.961;1.961;1.961;1.619;1.077;0.642;1.042;1.044;0.997;1.100;0.958;1.160;1.198;1.993;0.000;0.000;0.000;0.000;0.000;0.000
05:00;1.961;1.961;1.961;2.254;1.841;1.417;1.042;1.026;1.022;0.896;1.011;1.104;1.198;1.623;0.000;0.000;0.000;0.000;0.000;0.000
06:00;1.961;1.961;1.961;2.254;1.841;1.417;1.042;1.026;1.022;0.896;1.011;1.104;1.198;1.623;0.000;0.000;0.000;0.000;0.000;0.000
07:00;1.961;1.961;1.961;1.632;1.131;0.722;1.637;1.285;1.041;1.549;1.914;1.894;2.470;1.894;0.000;0.000;0.000;0.000;0.000;0.000
08:00;1.961;1.961;1.961;2.945;1.814;2.078;2.190;0.994;1.048;2.062;1.944;2.556;3.991;1.796;0.000;0.000;0.000;0.000;0.000;0.000
09:00;1.961;1.961;1.961;1.846;2.737;2.184;1.748;2.114;2.135;3.532;2.869;1.600;2.244;1.374;0.000;0.000;0.000;0.000;0.000;0.000
10:00;1.961;1.961;1.961;3.413;3.181;3.848;2.925;1.958;1.679;3.054;3.788;3.096;1.157;1.374;0.000;0.000;0.000;0.000;0.000;0.000
11:00;1.961;1.961;1.961;3.721;4.117;2.639;2.860;2.065;1.990;2.978;3.717;2.970;1.149;1.374;0.000;0.000;0.000;0.000;0.000;0.000
12:00;1.961;1.961;1.961;2.644;4.098;0.710;2.923;3.529;2.132;1.885;2.714;3.060;1.180;1.374;0.000;0.000;0.000;0.000;0.000;0.000
13:00;1.961;1.961;1.961;1.656;2.489;0.706;1.698;3.884;3.742;0.954;1.567;1.106;1.261;1.374;0.000;0.000;0.000;0.000;0.000;0.000
14:00;1.961;1.961;1.961;1.668;1.775;0.736;0.894;3.614;3.814;0.989;1.575;1.143;2.062;1.374;0.000;0.000;0.000;0.000;0.000;0.000
15:00;1.961;1.961;1.961;1.689;1.857;0.759;0.943;2.305;3.934;1.015;1.621;1.203;1.266;1.374;0.000;0.000;0.000;0.000;0.000;0.000
16:00;1.961;1.961;1.961;2.354;1.825;1.307;0.977;2.006;2.803;1.034;1.652;1.300;1.245;1.374;0.000;0.000;0.000;0.000;0.000;0.000
17:00;1.961;1.961;1.961;2.432;1.700;1.561;0.994;2.365;1.257;3.830;2.950;2.980;1.227;1.374;0.000;0.000;0.000;0.000;0.000;0.000
18:00;1.961;1.961;1.961;3.222;2.571;0.936;1.753;1.299;1.308;3.752;1.338;2.216;1.261;1.374;0.000;0.000;0.000;0.000;0.000;0.000
19:00;1.961;1.961;1.961;1.875;1.853;0.965;1.865;1.154;1.306;2.669;1.581;2.454;1.543;1.374;0.000;0.000;0.000;0.000;0.000;0.000
20:00;1.961;1.961;1.961;2.623;1.147;0.983;1.148;1.731;1.372;1.750;1.056;2.096;1.825;1.374;0.000;0.000;0.000;0.000;0.000;0.000
21:00;1.961;1.961;1.752;1.828;1.231;1.011;1.490;1.085;2.076;2.558;1.418;2.205;2.432;1.374;0.000;0.000;0.000;0.000;0.000;0.000
22:00;1.961;1.961;2.512;2.028;1.161;1.729;1.252;1.204;0.917;1.919;1.418;3.248;2.077;1.374;0.000;0.000;0.000;0.000;0.000;0.000
23:00;1.961;1.961;1.961;1.772;2.151;1.820;1.494;0.960;2.476;1.209;1.010;1.418;1.035;1.913;0.000;0.000;0.000;0.000;0.000;0.000
